"claim_id","claim_level","outcome","feature_name","evidence_grade","design_hypothesis_grade","manuscript_destination","claim_text","feature_level_locked_validation","causal_claim","p_value_claim"
"OUTCOME_01","outcome","has_any_outer_imagery_observed","","E2","","Results 3.4; Discussion 4.3","The frozen interpretable model showed interval-supported top-decile observed-positive enrichment for Any outer-package affective imagery (lift@10=2.5986622073578598, 95% CI 1.3671521035598706-3.7742393162393157), while its AUROC interval remained wholly below 0.5, indicating poor global ranking discrimination.","False","False","False"
"OUTCOME_02","outcome","general_visual_appeal_observed_positive_core","","E2","","Results 3.4; Discussion 4.3","The frozen interpretable model showed interval-supported top-decile observed-positive enrichment for General visual appeal (lift@10=3.3205128205128207, 95% CI 1.2029420893571838-4.99514679798357), while its AUROC interval remained wholly below 0.5, indicating poor global ranking discrimination.","False","False","False"
"OUTCOME_03","outcome","cute_friendly_observed_positive_core","","E1","","Results 3.4; Discussion 4.3","The frozen interpretable model showed a top-decile lift point estimate above 1 for Cute/friendly (lift@10=2.9298642533936654, 95% CI 0.7654966392830469-4.9951456310679614), but the interval included 1; enrichment evidence is exploratory, and the AUROC interval remained wholly below 0.5.","False","False","False"
"FEATURE_04","feature_main_figure","has_any_outer_imagery_observed","sparse_layout_score","E2","A","Results 3.4; Discussion 4.3","sparse_layout_score was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=-1.1910837348852517; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_05","feature_main_figure","has_any_outer_imagery_observed","edge_density","E2","A","Results 3.4; Discussion 4.3","edge_density was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=-0.8339447779748175; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_06","feature_main_figure","has_any_outer_imagery_observed","dense_ornament_score","E2","A","Results 3.4; Discussion 4.3","dense_ornament_score was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=0.7060870491456278; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_07","feature_main_figure","has_any_outer_imagery_observed","edge_strength_mean","E2","A","Results 3.4; Discussion 4.3","edge_strength_mean was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=0.643477059038845; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_08","feature_main_figure","has_any_outer_imagery_observed","luminance_p10","E2","A","Results 3.4; Discussion 4.3","luminance_p10 was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=-0.5854838564210413; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_09","feature_main_figure","has_any_outer_imagery_observed","geometric_layout_score","E2","A","Results 3.4; Discussion 4.3","geometric_layout_score was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=0.4952816412536643; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_10","feature_main_figure","has_any_outer_imagery_observed","luminance_p90","E2","A","Results 3.4; Discussion 4.3","luminance_p90 was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=0.39715141903714485; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_11","feature_main_figure","has_any_outer_imagery_observed","vivid_multicolor_palette_score","E2","A","Results 3.4; Discussion 4.3","vivid_multicolor_palette_score was a directionally stable development-stage visual correlate for Any outer-package affective imagery (standardized multivariable coefficient=0.3732603201418176; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_12","feature_main_figure","general_visual_appeal_observed_positive_core","sparse_layout_score","E2","A","Results 3.4; Discussion 4.3","sparse_layout_score was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=-1.2062724753539622; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_13","feature_main_figure","general_visual_appeal_observed_positive_core","geometric_layout_score","E2","A","Results 3.4; Discussion 4.3","geometric_layout_score was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=0.73884374260686; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_14","feature_main_figure","general_visual_appeal_observed_positive_core","edge_density","E2","A","Results 3.4; Discussion 4.3","edge_density was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=-0.706720593183189; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_15","feature_main_figure","general_visual_appeal_observed_positive_core","luminance_p10","E2","A","Results 3.4; Discussion 4.3","luminance_p10 was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=-0.6529424166010287; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_16","feature_main_figure","general_visual_appeal_observed_positive_core","floral_illustration_score","E2","A","Results 3.4; Discussion 4.3","floral_illustration_score was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=0.6281588004206307; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_17","feature_main_figure","general_visual_appeal_observed_positive_core","edge_strength_mean","E2","A","Results 3.4; Discussion 4.3","edge_strength_mean was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=0.55419183580825; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_18","feature_main_figure","general_visual_appeal_observed_positive_core","luminance_p90","E2","A","Results 3.4; Discussion 4.3","luminance_p90 was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=0.54410317442028; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_19","feature_main_figure","general_visual_appeal_observed_positive_core","ingredient_photography_score","E2","A","Results 3.4; Discussion 4.3","ingredient_photography_score was a directionally stable development-stage visual correlate for General visual appeal (standardized multivariable coefficient=-0.49027871676480783; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E2, with a below-0.5 AUROC global-ordering flag. This is a qualified design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_20","feature_main_figure","cute_friendly_observed_positive_core","dense_ornament_score","E1","B","Results 3.4; Discussion 4.3","dense_ornament_score was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=1.3628411230908242; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_21","feature_main_figure","cute_friendly_observed_positive_core","sparse_layout_score","E1","B","Results 3.4; Discussion 4.3","sparse_layout_score was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=-1.0226443213471852; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_22","feature_main_figure","cute_friendly_observed_positive_core","leaf_herb_illustration_score","E1","B","Results 3.4; Discussion 4.3","leaf_herb_illustration_score was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=-0.8705877653862636; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_23","feature_main_figure","cute_friendly_observed_positive_core","edge_density","E1","B","Results 3.4; Discussion 4.3","edge_density was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=-0.8412784945356365; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_24","feature_main_figure","cute_friendly_observed_positive_core","edge_strength_mean","E1","B","Results 3.4; Discussion 4.3","edge_strength_mean was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=0.7706996589956482; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_25","feature_main_figure","cute_friendly_observed_positive_core","luminance_p10","E1","B","Results 3.4; Discussion 4.3","luminance_p10 was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=-0.6426964794413174; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_26","feature_main_figure","cute_friendly_observed_positive_core","transparent_window_score","E1","B","Results 3.4; Discussion 4.3","transparent_window_score was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=0.5043114025006747; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
"FEATURE_27","feature_main_figure","cute_friendly_observed_positive_core","heritage_ornament_score","E1","B","Results 3.4; Discussion 4.3","heritage_ornament_score was a directionally stable development-stage visual correlate for Cute/friendly (standardized multivariable coefficient=-0.5015403730815253; 5/5 fold-sign agreement). The corresponding outcome-level locked-test evidence was E1, with a below-0.5 AUROC global-ordering flag. This is a exploratory design hypothesis, not feature-level locked-test validation and not causal evidence.","False","False","False"
